iter	Passed	Remaining
0	1	104
1	2	124
2	3	121
3	5	123
4	6	130
5	7	124
6	9	128
7	11	130
8	12	126
9	14	128
10	15	127
11	16	123
12	18	122
13	19	117
14	20	115
15	21	114
16	23	114
17	25	114
18	26	114
19	28	112
20	29	109
21	30	109
22	31	106
23	32	103
24	33	100
25	34	97
26	35	96
27	36	93
28	37	92
29	38	89
30	40	90
31	41	88
32	43	87
33	44	87
34	46	85
35	47	84
36	49	83
37	50	81
38	51	80
39	52	79
40	54	77
41	54	75
42	57	76
43	59	76
44	62	75
45	64	75
46	66	74
47	68	74
48	70	73
49	72	72
50	74	71
51	76	70
52	78	69
53	80	68
54	81	66
55	83	65
56	84	63
57	87	63
58	89	61
59	90	60
60	92	58
61	93	57
62	95	55
63	96	54
64	97	52
65	98	50
66	100	49
67	101	47
68	103	46
69	104	44
70	106	43
71	108	42
72	109	40
73	111	39
74	113	37
75	114	36
76	115	34
77	117	33
78	119	31
79	120	30
80	122	28
81	123	27
82	124	25
83	126	24
84	127	22
85	129	21
86	131	19
87	133	18
88	134	16
89	135	15
90	137	13
91	138	12
92	139	10
93	141	9
94	143	7
95	145	6
96	146	4
97	148	3
98	149	1
99	150	0
