iter	Passed	Remaining
0	146	146046
1	147	73500
2	148	49256
3	149	37106
4	150	29914
5	151	25082
6	152	21614
7	153	18990
8	154	17025
9	155	15395
10	156	14059
11	157	12936
12	157	11981
13	158	11183
14	159	10484
15	160	9890
16	161	9344
17	162	8865
18	163	8431
19	164	8063
20	166	7762
21	167	7442
22	168	7146
23	168	6872
24	169	6617
25	170	6394
26	171	6180
27	172	5989
28	173	5803
29	174	5629
30	174	5467
31	175	5311
32	176	5163
33	177	5036
34	178	4913
35	179	4799
36	180	4693
37	181	4590
38	182	4488
39	182	4390
40	183	4301
41	184	4212
42	185	4129
43	186	4048
44	187	3974
45	188	3905
46	189	3835
47	189	3766
48	190	3698
49	191	3635
50	191	3571
51	192	3515
52	193	3461
53	194	3406
54	195	3353
55	196	3305
56	196	3257
57	197	3211
58	198	3166
59	199	3121
60	199	3078
61	201	3043
62	202	3006
63	203	2970
64	203	2931
65	204	2894
66	205	2858
67	206	2825
68	206	2792
69	207	2758
70	208	2728
71	209	2700
72	210	2672
73	211	2642
74	211	2612
75	212	2584
76	213	2557
77	213	2529
78	214	2502
79	215	2477
80	216	2451
81	216	2427
82	217	2404
83	218	2380
84	219	2359
85	219	2336
86	220	2314
87	221	2292
88	221	2270
89	222	2252
90	223	2233
91	224	2214
92	225	2197
93	226	2179
94	226	2162
95	227	2143
96	228	2122
97	228	2102
98	229	2086
99	230	2070
100	230	2054
101	231	2038
102	232	2022
103	232	2006
104	233	1988
105	233	1973
106	234	1958
107	235	1944
108	236	1929
109	236	1914
110	237	1901
111	238	1890
112	239	1879
113	240	1865
114	240	1852
115	241	1840
116	242	1827
117	242	1815
118	243	1803
119	244	1791
120	245	1779
121	245	1768
122	246	1757
123	247	1746
124	247	1734
125	248	1723
126	249	1712
127	249	1701
128	250	1691
129	251	1681
130	251	1670
131	252	1661
132	253	1653
133	254	1644
134	255	1634
135	255	1625
136	256	1616
137	257	1606
138	257	1597
139	258	1589
140	259	1580
141	260	1571
142	261	1565
143	261	1556
144	262	1547
145	262	1537
146	263	1528
147	263	1519
148	264	1511
149	265	1504
150	266	1496
151	267	1489
152	267	1483
153	268	1476
154	269	1469
155	270	1461
156	270	1454
157	271	1447
158	272	1440
159	273	1433
160	273	1427
161	274	1420
162	275	1413
163	276	1407
164	276	1400
165	277	1394
166	278	1387
167	278	1381
168	279	1374
169	280	1368
170	281	1362
171	281	1356
172	282	1349
173	283	1344
174	284	1339
175	284	1333
176	285	1327
177	286	1321
178	286	1315
179	287	1310
180	288	1304
181	289	1299
182	289	1293
183	290	1288
184	291	1282
185	291	1277
186	292	1271
187	292	1265
188	293	1260
189	294	1255
190	295	1249
191	295	1244
192	296	1239
193	297	1235
194	298	1232
195	299	1226
196	299	1222
197	300	1217
198	301	1213
199	302	1208
200	302	1203
201	303	1199
202	304	1194
203	305	1190
204	305	1185
205	306	1180
206	307	1176
207	307	1171
208	308	1167
209	309	1162
210	309	1158
211	310	1153
212	311	1149
213	311	1144
214	312	1140
215	313	1137
216	314	1133
217	314	1129
218	315	1124
219	316	1120
220	316	1116
221	317	1112
222	318	1108
223	318	1105
224	319	1100
225	320	1096
226	320	1093
227	321	1089
228	322	1085
229	322	1081
230	323	1077
231	324	1073
232	324	1069
233	325	1065
234	326	1062
235	327	1058
236	328	1058
237	329	1055
238	330	1052
239	331	1049
240	332	1046
241	332	1042
242	333	1039
243	334	1035
244	335	1032
245	335	1029
246	336	1025
247	337	1022
248	337	1019
249	338	1015
250	339	1012
251	340	1009
252	340	1006
253	341	1002
254	342	1000
255	342	996
256	343	994
257	344	991
258	345	988
259	346	985
260	346	982
261	347	979
262	348	976
263	349	973
264	350	970
265	350	967
266	351	964
267	352	961
268	352	958
269	353	955
270	354	953
271	355	950
272	355	947
273	356	944
274	357	942
275	358	940
276	359	937
277	359	934
278	360	932
